Day	Stage	Channel	Mean	Lower	Upper
04-11-2019	fallow	CIgreen	0.820856944160875	0.839373390905773	0.832963259265959
05-21-2019	VEG	CIgreen	0.744546573277632	0.769138964944662	0.736714461397472
06-13-2019	VEG	CIgreen	0.811770993568126	0.695261461913269	0.868480037283162
06-29-2019	VEG	CIgreen	4.78384944683961	3.92442988566366	5.49330176105504
07-11-2019	REP_R0	CIgreen	9.82108541161668	8.47616098361358	10.811235851313
08-01-2019	REP_R2	CIgreen	8.9841571779539	7.49120251407898	10.5977334558359
08-13-2019	REP_R4	CIgreen	7.3864996553701	6.33690237396985	8.74837448869577
08-21-2019	GF	CIgreen	4.74182221074762	4.22110647164311	5.37707292304235
08-28-2019	GF	CIgreen	3.98853600541872	3.51107451093077	4.71506195816746
09-07-2019	GF	CIgreen	2.43262869261237	2.24017869299966	2.86839052509233
09-13-2019	GF	CIgreen	1.76844597524558	1.69801230899438	1.92508425592724
04-11-2019	fallow	GNDVI	0.288662866580253	0.293316808850005	0.291687940090792
05-21-2019	VEG	GNDVI	0.269531179673128	0.273131666010871	0.268108327809847
06-13-2019	VEG	GNDVI	0.281133896815726	0.244965274884772	0.296502854774356
06-29-2019	VEG	GNDVI	0.164128629732956	0.205453488986089	0.143828879746816
07-11-2019	REP_R0	GNDVI	0.816328633496911	0.77952449630881	0.824334992414289
08-01-2019	REP_R2	GNDVI	0.805217434995298	0.762584471318938	0.834662320786732
08-13-2019	REP_R4	GNDVI	0.773396891419213	0.738382528780281	0.803759740202004
08-21-2019	GF	GNDVI	0.697802473351518	0.669945233040343	0.724592711430942
08-28-2019	GF	GNDVI	0.655742809056963	0.623678643883978	0.695710351428521
09-07-2019	GF	GNDVI	0.540378493623489	0.517018458820261	0.583156226090121
09-13-2019	GF	GNDVI	0.465051510069592	0.4522081703315	0.487011204116659
04-11-2019	fallow	NAVI	0.316983763344188	0.308840764767737	0.320273365659632
05-21-2019	VEG	NAVI	0.222938679978169	0.2206559959537	0.222752835159522
06-13-2019	VEG	NAVI	0.417482039550296	0.35119432400844	0.446515284702114
06-29-2019	VEG	NAVI	0.905025711568801	0.841849872759706	0.93162088250424
07-11-2019	REP_R0	NAVI	0.960617936753782	0.937583985555142	0.970285710383178
08-01-2019	REP_R2	NAVI	0.962002692327432	0.944550536536104	0.970920050929296
08-13-2019	REP_R4	NAVI	0.945437858152894	0.93093825924975	0.955963708509649
08-21-2019	GF	NAVI	0.915453365332036	0.902561474224705	0.926395737552349
08-28-2019	GF	NAVI	0.892748542521886	0.874303948794113	0.914771321298331
09-07-2019	GF	NAVI	0.769304335615096	0.731629682033797	0.819236414886963
09-13-2019	GF	NAVI	0.697587446318091	0.653931045018811	0.738382469289747
04-11-2019	fallow	NDVI	0.188950627582009	0.183492332336531	0.191157874028564
05-21-2019	VEG	NDVI	0.126659792222404	0.127457257646754	0.125921662817655
06-13-2019	VEG	NDVI	0.271876095504669	0.224208826750318	0.294724957682971
06-29-2019	VEG	NDVI	0.0809160475619523	0.123334868213235	0.0613565469741093
07-11-2019	REP_R0	NDVI	0.935050786611693	0.906780738110528	0.932161253527312
08-01-2019	REP_R2	NDVI	0.929377748961892	0.902598710566037	0.944072830799761
08-13-2019	REP_R4	NDVI	0.8978818087862	0.876022223410732	0.9161296192465
08-21-2019	GF	NDVI	0.845450416890037	0.825658906597898	0.864786370914356
08-28-2019	GF	NDVI	0.80825443846568	0.780160683734031	0.843650018376081
09-07-2019	GF	NDVI	0.630092138529432	0.583675315472992	0.696207953672681
09-13-2019	GF	NDVI	0.54074519182703	0.492601346505233	0.588691347616596
04-11-2019	fallow	RENDVI	0.0860158597848321	0.0838129696521464	0.0878342367447488
05-21-2019	VEG	RENDVI	0.0726698713931802	0.0722013442278925	0.0723164463405157
06-13-2019	VEG	RENDVI	0.101899371137015	0.0916690589886497	0.108661136763345
06-29-2019	VEG	RENDVI	0.454134037135347	0.397982444545539	0.489305753773297
07-11-2019	REP_R0	RENDVI	0.607586911102212	0.558056335288134	0.628385147700864
08-01-2019	REP_R2	RENDVI	0.598410225187606	0.544572193151753	0.642910511699388
08-13-2019	REP_R4	RENDVI	0.538394268098952	0.488796726759651	0.587107562747311
08-21-2019	GF	RENDVI	0.41578128303646	0.374965170045733	0.459120408693983
08-28-2019	GF	RENDVI	0.355277620662893	0.316679225271261	0.412824909850082
09-07-2019	GF	RENDVI	0.224645889318587	0.204460148198509	0.267395691982625
09-13-2019	GF	RENDVI	0.168050181306906	0.158517061117455	0.187099190905007
04-11-2019	fallow	TGI	0.682906770531098	0.859229996672097	0.626005028213883
05-21-2019	VEG	TGI	0.527980113258548	0.646934922616486	0.450545472038403
06-13-2019	VEG	TGI	3.68738366205162	3.07047662914197	3.96058123072419
06-29-2019	VEG	TGI	3.85720272100329	3.56776167497624	3.98465838258309
07-11-2019	REP_R0	TGI	2.49937947309118	2.4802205023907	2.32875563168817
08-01-2019	REP_R2	TGI	3.2626231925293	3.60914918256594	2.9858914490789
08-13-2019	REP_R4	TGI	3.37184766667605	3.4149373722417	3.16300735689606
08-21-2019	GF	TGI	4.46592522431971	4.58785839359169	4.30795449845532
08-28-2019	GF	TGI	4.91377713669756	4.96501156637677	4.7723565786852
09-07-2019	GF	TGI	4.97382350391559	4.65581888399111	5.12451211934781
09-13-2019	GF	TGI	5.67791821447801	5.08099102530145	6.13633148136197
