Set,Day,Channel_blanked,Test_MSE,Not_Blanked
A,1-Aug,CIgreen,218,186
A,1-Aug,NAVI,186,186
A,1-Aug,NDVI,186,186
A,1-Aug,GNDVI,186,186
A,1-Aug,RENDVI,187,186
A,1-Aug,TGI,194,186
A,1-Aug,Thermal,189,186
B,1-Aug,CIgreen,170,154
B,1-Aug,NAVI,153,154
B,1-Aug,NDVI,152,154
B,1-Aug,GNDVI,152,154
B,1-Aug,RENDVI,153,154
B,1-Aug,TGI,163,154
B,1-Aug,Thermal,152,154
C,1-Aug,CIgreen,276,176
C,1-Aug,NAVI,164,176
C,1-Aug,NDVI,164,176
C,1-Aug,GNDVI,165,176
C,1-Aug,RENDVI,165,176
C,1-Aug,TGI,170,176
C,1-Aug,Thermal,170,176
D,1-Aug,CIgreen,253,233
D,1-Aug,NAVI,233,233
D,1-Aug,NDVI,233,233
D,1-Aug,GNDVI,233,233
D,1-Aug,RENDVI,233,233
D,1-Aug,TGI,214,233
D,1-Aug,Thermal,239,233
